epoch,acc,loss,val_acc,val_loss
0,0.9284166666666667,0.2372409068663915,0.9817142857142858,0.05681655624295984
1,0.97555,0.08283225801984469,0.9887619047619047,0.03495693269709037
2,0.9807333333015442,0.06598190177579721,0.9906666666666667,0.03102372872119858
3,0.9834666666348775,0.057371124066909154,0.9928571428571429,0.02419452544825063
4,0.9851333333333333,0.05261273425022761,0.9929523809523809,0.024748190314120923
5,0.9850499999682109,0.05298182554344336,0.9940952380952381,0.024861042659907115
6,0.9853333333333333,0.05392911905149619,0.9927619047619047,0.026455985624165762
7,0.9848,0.0549954566175739,0.9935238095238095,0.0204807636414965
8,0.9852166666666666,0.05432028250818451,0.9929523809523809,0.025029728818413182
9,0.9852166666348775,0.05651530131970842,0.9927619047619047,0.022755051580967293
